Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS01 - Home,Chrome 77.0.3865.75,,2019-09-14 17:58:02,2019-09-14 17:59:51,"1m - 49,450s",FAILED
,,,,,,
Test Cases/CT001 - Home,Chrome 77.0.3865.75,Home.feature,2019-09-14 17:58:03,2019-09-14 17:58:15,"12,805s",PASSED
home.AcessarHome.refreshBrowser(),Chrome 77.0.3865.75,,2019-09-14 17:58:04,2019-09-14 17:58:14,"9,980s",PASSED
home.AcessarHome.isElementPresent(),Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,426s",PASSED
"menuSobre = ""PageHome/menuSobre""",Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,003s",PASSED
"textMenuSobre = ""Sobre""",Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,002s",PASSED
labelSobre = getText(findTestObject(menuSobre)),Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,111s",PASSED
println(labelSobre),Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,005s",PASSED
"validaLabelSobre = verifyEqual(labelSobre, textMenuSobre)",Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,047s",PASSED
if (validaLabelSobre == true),Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,005s",PASSED
"menuJunte = ""PageHome/menuJuntePontos""",Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,001s",PASSED
"textMenuJunte = ""Junte pontos""",Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,001s",PASSED
labelJunte = getText(findTestObject(menuJunte)),Chrome 77.0.3865.75,,2019-09-14 17:58:14,2019-09-14 17:58:14,"0,078s",PASSED
