Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS01 - Home,Chrome 77.0.3865.75,,2019-09-14 17:54:00,2019-09-14 17:55:48,"1m - 47,599s",FAILED
,,,,,,
Test Cases/CT001 - Home,Chrome 77.0.3865.75,Home.feature,2019-09-14 17:54:01,2019-09-14 17:54:16,"14,922s",PASSED
home.AcessarHome.refreshBrowser(),Chrome 77.0.3865.75,,2019-09-14 17:54:02,2019-09-14 17:54:15,"12,219s",PASSED
home.AcessarHome.isElementPresent(),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,414s",PASSED
"menuSobre = ""PageHome/menuSobre""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
"textMenuSobre = ""Sobre""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,004s",PASSED
labelSobre = getText(findTestObject(menuSobre)),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,089s",PASSED
println(labelSobre),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,005s",PASSED
"validaLabelSobre = verifyEqual(labelSobre, textMenuSobre)",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,045s",PASSED
if (validaLabelSobre == true),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,003s",PASSED
"menuJunte = ""PageHome/menuJuntePontos""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
"textMenuJunte = ""Junte pontos""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
labelJunte = getText(findTestObject(menuJunte)),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,067s",PASSED
println(labelJunte),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,002s",PASSED
"validaLabelJunte = verifyEqual(labelJunte, textMenuJunte)",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,002s",PASSED
if (validaLabelJunte == true),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,004s",PASSED
"menuGanhe = ""PageHome/menuGanhePremios""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
"textMenuGanhe = ""Ganhe prêmios""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
labelGanhe = getText(findTestObject(menuGanhe)),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,046s",PASSED
println(labelGanhe),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
"validaLabelGanhe = verifyEqual(labelGanhe, textMenuGanhe)",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,002s",PASSED
if (validaLabelGanhe == true),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,005s",PASSED
"lojaVirtual = ""PageHome/menuLojaVirtual""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
"textMenuLoja = ""Loja virtual""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
labelLoja = getText(findTestObject(lojaVirtual)),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,058s",PASSED
println(labelLoja),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
"validaLabelLoja = verifyEqual(labelLoja, textMenuLoja)",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,003s",PASSED
if (validaLabelLoja == true),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,003s",PASSED
"btnEntrar = ""PageHome/btnEntrar""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
"hintBtnEntrar = ""Entrar""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
txtBtnEntrar = getText(findTestObject(btnEntrar)),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,048s",PASSED
println(txtBtnEntrar),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,002s",PASSED
"validaBtnEntrar = verifyEqual(txtBtnEntrar, hintBtnEntrar)",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
if (validaBtnEntrar == true),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,003s",PASSED
"btnParticipar = ""PageHome/btnQueroParticipar""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
"hintBtnParticipar = ""Quero participar""",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
textBtnParticipar = getText(findTestObject(btnParticipar)),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,050s",PASSED
println(textBtnParticipar),Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,001s",PASSED
"validaBtnParticipar = verifyEqual(textBtnParticipar, hintBtnParticipar)",Chrome 77.0.3865.75,,2019-09-14 17:54:15,2019-09-14 17:54:15,"0,005s",PASSED
